timestamp,merchant_country,processor_name,merchant_vertical,response_code,amount_usd,predicted_recovery_probability,expected_retry_value_usd,decision,top_feature_1,top_feature_2,top_feature_3,explanation_1,explanation_2,explanation_3,actual_recovered_by_retry
2025-07-28 18:37:29,GB,regional-card-specialist-a,marketplace,92,1448.23,0.04069916720793607,20.47961422394224,do_not_retry,interchange_estimate_bps,is_soft_decline,risk_skip_flag,Feature `interchange_estimate_bps` with value `12.5` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-14 01:33:22,US,global-acquirer-b,travel,05,1440.99,0.0404180424368969,20.23469823990042,do_not_retry,interchange_estimate_bps,is_soft_decline,risk_skip_flag,Feature `interchange_estimate_bps` with value `5.0` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-28 17:18:42,US,cross-border-fx-specialist-a,ecom,05,990.49,0.049521533926066716,17.017704448450434,do_not_retry,is_soft_decline,risk_skip_flag,response_code,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,Response code `05` decreased the predicted retry recoverability.,False
2025-07-22 15:58:56,SG,regional-card-specialist-a,ecom,05,825.05,0.04927475093957677,14.078946641944235,do_not_retry,is_soft_decline,risk_skip_flag,response_code,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,Response code `05` decreased the predicted retry recoverability.,False
2025-07-26 15:19:27,AE,regional-card-specialist-b,saas,61,558.95,0.04411340999072145,8.480016680009815,do_not_retry,merchant_vertical,is_soft_decline,response_code,Merchant vertical `saas` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,Response code `61` decreased the predicted retry recoverability.,False
2025-07-28 22:16:00,MX,regional-card-specialist-a,travel,43,3569.85,0.00684811400448504,8.406358922618821,do_not_retry,is_soft_decline,response_code,risk_skip_flag,`is_soft_decline=False` decreased the predicted retry recoverability.,Response code `43` decreased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-28 13:32:37,SG,global-acquirer-b,marketplace,54,2954.03,0.0074634096219016325,7.566497573885127,do_not_retry,is_soft_decline,response_code,risk_skip_flag,`is_soft_decline=False` decreased the predicted retry recoverability.,Response code `54` decreased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-23 23:03:43,BR,cross-border-fx-specialist-a,travel,61,445.15,0.04646804118923974,7.089836987386522,do_not_retry,is_soft_decline,response_code,risk_skip_flag,`is_soft_decline=True` increased the predicted retry recoverability.,Response code `61` decreased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-08-05 11:23:10,BR,cross-border-fx-specialist-a,ecom,PR,605.94,0.03368142704346767,6.993123365951579,do_not_retry,mastercard_advice_code,is_soft_decline,response_code,Feature `mastercard_advice_code` with value `1.0` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,Response code `PR` decreased the predicted retry recoverability.,False
2025-07-31 11:25:34,US,cross-border-fx-specialist-b,travel,62,3144.69,0.006476767756807101,6.978599379003802,do_not_retry,is_soft_decline,risk_skip_flag,response_code,`is_soft_decline=False` decreased the predicted retry recoverability.,`risk_skip_flag=True` decreased the predicted retry recoverability.,Response code `62` decreased the predicted retry recoverability.,False
2025-08-03 14:57:40,US,cross-border-fx-specialist-b,travel,05,2145.51,0.008653774059557326,6.348365573882293,do_not_retry,risk_skip_flag,is_soft_decline,response_code,`risk_skip_flag=True` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,Response code `05` decreased the predicted retry recoverability.,False
2025-07-13 12:45:50,CO,regional-bank-processor-a,travel,07,2708.9,0.006771676756896099,6.270328308364545,do_not_retry,is_soft_decline,response_code,risk_skip_flag,`is_soft_decline=False` decreased the predicted retry recoverability.,Response code `07` decreased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-08-05 20:57:02,FR,regional-bank-processor-b,marketplace,51,1895.46,0.009621928440394894,6.233293168570817,do_not_retry,risk_skip_flag,is_soft_decline,response_code,`risk_skip_flag=True` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,Response code `51` increased the predicted retry recoverability.,False
2025-08-02 22:47:20,US,cross-border-fx-specialist-b,saas,54,2631.06,0.006704118934213573,6.023628707068186,do_not_retry,is_soft_decline,response_code,merchant_vertical,`is_soft_decline=False` decreased the predicted retry recoverability.,Response code `54` decreased the predicted retry recoverability.,Merchant vertical `saas` decreased the predicted retry recoverability.,False
2025-07-19 10:46:29,SA,cross-border-fx-specialist-a,saas,51,354.99,0.04794336597910628,5.806795421123027,do_not_retry,merchant_vertical,is_soft_decline,risk_skip_flag,Merchant vertical `saas` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-17 22:45:24,NL,cross-border-fx-specialist-a,saas,05,354.08,0.04712055335209995,5.689555935819041,do_not_retry,merchant_vertical,is_soft_decline,risk_skip_flag,Merchant vertical `saas` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-08-06 15:44:47,FR,cross-border-fx-specialist-a,travel,05,393.28,0.04219143688452076,5.657566904280513,do_not_retry,mastercard_advice_code,is_soft_decline,risk_skip_flag,Feature `mastercard_advice_code` with value `1.0` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
2025-07-14 14:00:23,GB,regional-card-specialist-a,travel,57,1427.53,0.0104129854470136,5.052697190311362,do_not_retry,risk_skip_flag,is_soft_decline,processor_name,`risk_skip_flag=True` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,Processor `regional-card-specialist-a` decreased the predicted retry recoverability.,False
2025-07-30 12:48:55,GB,global-acquirer-b,ecom,51,322.08,0.04551446176197806,4.980754245504262,do_not_retry,interchange_estimate_bps,is_soft_decline,risk_skip_flag,Feature `interchange_estimate_bps` with value `5.0` decreased the predicted retry recoverability.,`is_soft_decline=True` increased the predicted retry recoverability.,`risk_skip_flag=False` increased the predicted retry recoverability.,False
