timestamp,merchant_country,processor_name,response_code,amount_usd,target_recovered_by_retry,champion_probability,challenger_probability,probability_delta,absolute_delta
2025-07-27 15:55:11,CA,high-risk-or-orchestrator-a,51,198.1,True,0.5518649743256249,0.1872376262884105,0.36462734803721436,0.36462734803721436
2025-08-05 20:59:55,DE,high-risk-or-orchestrator-a,51,323.69,True,0.5555934175013629,0.21031991301024017,0.34527350449112276,0.34527350449112276
2025-07-26 22:48:54,AE,global-acquirer-a,91,14.74,True,0.5824698328982412,0.24549441576757192,0.33697541713066925,0.33697541713066925
2025-07-12 13:47:33,DE,global-acquirer-b,51,128.11,False,0.546388957318027,0.21406772830566492,0.33232122901236205,0.33232122901236205
2025-07-26 20:30:27,DE,global-acquirer-b,51,81.48,True,0.5188060326444007,0.1929231364257518,0.32588289621864897,0.32588289621864897
2025-07-13 08:36:07,US,high-risk-or-orchestrator-b,51,102.4,True,0.5725432646576284,0.25274726479440157,0.3197959998632268,0.3197959998632268
2025-07-26 13:07:44,DE,global-acquirer-a,51,52.33,False,0.5253608169049,0.20941364053549166,0.31594717636940833,0.31594717636940833
2025-08-04 20:17:39,DE,global-acquirer-b,51,706.6,False,0.5563672322474897,0.2418010019839865,0.3145662302635033,0.3145662302635033
2025-07-15 16:51:53,CA,high-risk-or-orchestrator-b,51,50.72,False,0.588810880527529,0.2749206211063086,0.31389025942122034,0.31389025942122034
2025-07-16 20:58:10,CA,high-risk-or-orchestrator-b,51,240.01,False,0.5216500182633486,0.21015695922381,0.31149305903953856,0.31149305903953856
2025-08-04 19:45:21,US,high-risk-or-orchestrator-b,51,96.9,False,0.5530318460723206,0.24231387105584684,0.31071797501647375,0.31071797501647375
2025-07-13 16:56:20,DE,global-acquirer-b,96,46.88,True,0.5450835042382431,0.2353253994659137,0.30975810477232946,0.30975810477232946
2025-07-12 16:54:34,DE,global-acquirer-a,96,746.72,True,0.5077000119285328,0.20029123494021747,0.30740877698831526,0.30740877698831526
2025-07-31 17:25:53,ES,global-acquirer-a,51,108.34,False,0.5216636319267715,0.2144555023537283,0.30720812957304316,0.30720812957304316
2025-07-20 16:59:44,JP,global-acquirer-b,91,371.97,False,0.5215142435331973,0.21760791065442026,0.30390633287877705,0.30390633287877705
2025-07-16 19:45:43,DE,global-acquirer-b,51,300.41,False,0.4894600198720444,0.19307546326318867,0.29638455660885576,0.29638455660885576
2025-07-17 08:29:30,US,global-acquirer-a,51,285.45,False,0.34275698749928035,0.04925618432877728,0.2935008031705031,0.2935008031705031
2025-07-20 11:15:52,DE,global-acquirer-b,51,69.62,False,0.48823118032024815,0.20529811821872568,0.28293306210152247,0.28293306210152247
2025-08-04 07:57:16,ES,high-risk-or-orchestrator-a,51,53.23,False,0.5344147756636767,0.25369214734020257,0.2807226283234741,0.2807226283234741
2025-07-16 18:59:56,DE,high-risk-or-orchestrator-a,51,561.84,False,0.537378225921278,0.2617959911489343,0.2755822347723437,0.2755822347723437
2025-07-11 20:36:43,HK,global-acquirer-a,91,67.67,True,0.5156329813089853,0.2406173472504483,0.27501563405853696,0.27501563405853696
2025-07-26 20:38:25,US,high-risk-or-orchestrator-a,51,96.34,True,0.5033661004564979,0.22840251533498976,0.2749635851215081,0.2749635851215081
2025-07-28 20:24:18,PL,global-acquirer-b,51,27.74,False,0.44945314759924376,0.1754145677932186,0.2740385798060252,0.2740385798060252
2025-08-04 09:18:25,GB,high-risk-or-orchestrator-a,51,316.33,False,0.43133765631603044,0.1576393292463297,0.27369832706970076,0.27369832706970076
